기간,자치구,합계,가정용,공공용,서비스업,서비스업,서비스업,서비스업,서비스업,산업용,산업용,산업용,산업용
기간,자치구,합계,가정용,공공용,소계,전철,수도,사업자용,순수서비스,소계,농림어업,광업,제조업
2016.03,광진구,"127,063","35,645","8,455","79,694","23,788","3,410",167,"52,329","3,269",25,6,"3,238"
2016.03,동대문구,"117,191","38,517","10,668","61,041","4,271",694,153,"55,923","6,965",21,10,"6,934"
2016.03,중랑구,"90,270","40,315","3,525","41,055",149,436,146,"40,325","5,375",36,5,"5,334"
2016.03,성북구,"119,578","47,260","17,804","49,920",-,"1,494",74,"48,353","4,594",26,1,"4,566"
2016.03,강북구,"74,744","31,750","3,797","35,880",54,592,62,"35,171","3,318",11,-,"3,306"
2016.03,도봉구,"73,452","33,787","4,592","30,333",-,509,90,"29,734","4,740",35,-,"4,705"
2016.03,노원구,"123,466","54,713","14,483","51,222",-,"1,179",341,"49,701","3,048",12,-,"3,036"
2016.03,은평구,"108,326","48,153","6,404","52,404","9,626",710,169,"41,899","1,365",13,3,"1,349"
2016.03,서대문구,"98,901","32,900","23,157","41,308",-,955,14,"40,340","1,536",6,1,"1,530"
2016.03,마포구,"163,517","43,427","11,792","105,495","1,010",804,768,"102,913","2,803",12,0,"2,791"
2016.03,양천구,"126,005","49,690","5,260","68,831",-,730,175,"67,927","2,223",16,18,"2,188"
2016.03,강서구,"168,635","59,972","18,310","85,087","2,545",406,143,"81,994","5,266",223,102,"4,942"
2016.03,구로구,"154,687","45,061","5,093","93,913","20,988",748,224,"71,953","10,619",22,52,"10,545"
2016.03,금천구,"131,140","22,458","2,338","80,088",-,280,124,"79,684","26,257",24,1,"26,232"
2016.03,영등포구,"208,704","44,814","13,593","139,145","1,450","7,128",535,"130,032","11,152",12,6,"11,134"
2016.03,동작구,"100,674","39,249","10,527","49,592",390,"2,152",93,"46,958","1,305",7,-,"1,298"
2016.03,관악구,"135,942","50,570","20,950","61,736",-,909,91,"60,736","2,686",10,-,"2,675"
2016.03,서초구,"283,210","52,713","16,572","212,779","43,368","2,376",764,"166,271","1,146",283,6,858
2016.03,강남구,"381,439","68,890","10,365","300,748","2,631","5,140","1,418","291,559","1,436",122,-,"1,313"
2016.03,송파구,"214,415","67,488","7,776","136,002","7,779","5,963",255,"122,005","3,149",119,-,"3,030"
2016.03,강동구,"122,637","43,122","5,354","71,276",-,"11,681",159,"59,435","2,885",307,2,"2,576"
